日付,曜日,最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),降雪量合計(cm),最大瞬間風速(m/s),風向,天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),最大風速(m/s),風向,平均気温(℃)
2018年9月2日,日,30.7,21.8,,8.7,,9,東,曇後晴,快晴,6.5,東北東,25.5
2018年9月3日,月,31.8,22.4,0,9.3,,13.4,東南東,晴後一時曇,晴後曇,7.3,東南東,27.5
2018年9月4日,火,28.6,23.4,41,0.7,,25.4,北北西,大雨一時曇、大風を伴う,曇時々雨後晴,18.2,北北西,26.2
2018年9月5日,水,31.5,21.2,,11,,13.4,南西,晴,晴時々曇,8.8,南西,26
2018年9月6日,木,28,20.2,0,1.2,,5.6,東北東,曇,曇一時雨,3.9,東北東,24.2
2018年9月7日,金,31.6,23.2,11.5,1.3,,10.1,西北西,曇,曇時々雨、雷を伴う,6.7,西北西,26.7
2018年9月8日,土,24.3,19.2,35.5,0,,9,南南西,雨時々曇,雨一時曇,6.2,南,21.2
2018年9月9日,日,24.2,20.2,46,0,,7.2,北,雨,雨,4.8,北,22.1
2018年9月10日,月,26,21.4,12.5,0.8,,13.9,北,曇一時雨,曇,8.9,北,23.2
2018年9月11日,火,28.1,19.7,,6.4,,6.8,北東,曇後時々晴,曇,4.4,北東,23.3
2018年9月12日,水,25.8,20.1,0,0,,8,東北東,曇一時雨,曇一時雨,5.8,東北東,22.9
2018年9月13日,木,26.4,21.4,2.5,0.4,,7.6,北東,曇時々雨,雨一時曇,5.7,東北東,23.2
2018年9月14日,金,26.1,21.6,12.5,0.2,,6.3,東北東,雨時々曇,雨時々曇,4.2,北東,23.2
2018年9月15日,土,27.3,22.8,0.5,0,,9.4,南西,曇時々雨,曇一時晴,6,南南西,24.7
2018年9月16日,日,30.9,22.6,,4.7,,8.9,南西,曇時々晴,晴一時曇,6.4,西,26.5
2018年9月17日,月,26.8,20.5,0.5,0,,9.8,北,曇後一時雨,晴一時曇,6.6,北,23.6
2018年9月18日,火,29.8,18.9,0,8.4,,6.8,南南東,晴後時々薄曇,曇,5.1,南,24.1
2018年9月19日,水,28.7,21.9,0,5,,6.2,南南東,曇時々晴,雨時々曇,4.2,東南東,24.6
2018年9月20日,木,22.3,18.1,32,0,,7.5,北北東,雨,雨,5,北東,19.6
2018年9月21日,金,24.1,19.6,3.5,0,,5.3,東,曇時々雨,曇時々雨,3.9,東,22
2018年9月22日,土,29.4,20.5,8,5.1,,8.4,北西,曇一時晴,晴一時曇,6.2,北西,24.8
2018年9月23日,日,26.1,19.1,,1.6,,5,東南東,曇,曇,3.6,東南東,22.4
2018年9月24日,月,24.6,19.8,0,0,,5.7,西北西,曇時々雨,曇後雨,4.3,北北西,21.7
2018年9月25日,火,24.5,18.3,1,2,,10.1,北,曇,曇後一時晴,6.7,北,21.1
2018年9月26日,水,25.5,17.1,4,4.5,,10.7,東,曇一時晴,曇時々雨,6.6,東,20.9
2018年9月27日,木,27.1,16.2,0,6.2,,12.1,北北西,曇後晴,快晴,8.2,北北西,20.3
2018年9月28日,金,26.2,13.9,,11.5,,6.3,南南東,快晴,晴後雨,3.9,南南東,19.8
2018年9月29日,土,19.8,17,20.5,0,,7,北北東,雨一時曇,曇,4.6,北東,18.6
2018年9月30日,日,22.9,19.3,75,0,,31.8,北北西,大雨、雷を伴う,曇時々雨後晴、大風を伴う,17.7,北北西,21
2018年10月1日,月,25.1,16.7,0.5,9.9,,15.3,西北西,晴,晴,9.9,西,20.7
2018年10月2日,火,25.2,14.1,,7.1,,7.6,西,晴後曇,曇後晴,6.3,西,19.4
2018年10月3日,水,26.3,14.9,,8.3,,5.5,北,晴,曇一時晴,4,北,20
2018年10月4日,木,23.2,16.3,2,0.3,,8.8,東北東,曇後一時雨,曇一時雨,5.2,東,19.5
2018年10月5日,金,26.5,19.7,0,1.1,,15.9,東南東,曇,曇後一時雨,8.8,東南東,24
2018年10月6日,土,33.4,24.7,0,9.6,,20.2,南,晴,曇,13.4,南,28.5
2018年10月7日,日,29,20,0,2.5,,8,西南西,晴時々曇,曇時々晴,5.4,西,24.2
2018年10月8日,月,28.3,17.9,,9,,6.6,南,晴,晴後一時曇,4.9,南南東,22.5
2018年10月9日,火,25.6,18.1,,8.2,,6.1,東南東,晴,曇一時晴,3.9,南東,21.5
2018年10月10日,水,23,19.1,0.5,0,,7.5,北北西,曇時々雨,雨一時曇,4.1,北北西,20.5
2018年10月11日,木,19.2,14.8,8.5,0,,10.8,北北西,雨,曇,8,北北西,17.4
2018年10月12日,金,21.6,11.5,,7.6,,9.9,北,晴後曇,薄曇後晴,6.5,北,16
2018年10月13日,土,23.1,10.3,,9.2,,5.9,北,晴,晴,3.2,南,16.3
2018年10月14日,日,23.7,11.4,,7.4,,7,南,晴後薄曇,曇,4.7,南,17.2
2018年10月15日,月,24.5,15.2,0,8,,5.8,西南西,曇,薄曇,3.7,南,18.8
2018年10月16日,火,23.3,14.3,0.5,5.4,,8.7,北,曇一時晴,曇時々雨,5.9,北,18.1
2018年10月17日,水,22.7,14.1,1,7.3,,8.2,北東,晴後曇,晴時々薄曇,4.8,北東,17.5
2018年10月18日,木,23.7,11.6,,10,,10.8,北西,晴一時曇,晴後一時雨、雷を伴う,7.3,北北西,16.8
2018年10月19日,金,23.4,12.7,0.5,4.9,,9.2,北,晴一時雨,晴後一時曇,6.6,北北西,16.9
2018年10月20日,土,22.2,11.3,0,9.5,,12.1,北北西,晴,快晴,8.2,北北西,16.8
2018年10月21日,日,23.1,8.4,,10.5,,5.8,南,快晴,快晴,3.7,北東,15.2
2018年10月22日,月,21.7,10.2,,7.4,,5.6,北北東,薄曇一時晴,曇一時晴,3.6,北東,15.7
2018年10月23日,火,20.3,13.9,20,0.1,,7.5,東北東,雨時々曇,曇時々雨後一時晴,5,東,16.4
2018年10月24日,水,24,12.7,0,9.4,,9.3,北,晴,快晴,5.4,北,18.1
2018年10月25日,木,22.3,9.9,,9.1,,6.2,東北東,晴,快晴,3.6,東北東,15.4
2018年10月26日,金,21.7,10.1,2,5.9,,5.2,北東,晴後曇,雨後時々曇,3.5,東,16
2018年10月27日,土,21.4,13.2,4.5,7.4,,13.8,西北西,晴,晴時々曇,9.9,西北西,17
2018年10月28日,日,20.7,10,,6.8,,13.2,南西,晴,晴後曇,9.2,南西,14.3
2018年10月29日,月,21.4,9.8,0,6.6,,11.7,北西,晴,晴後一時曇,7.5,西,15.5
2018年10月30日,火,20.3,10.9,0,6.7,,12.2,西,晴一時曇,晴後薄曇,8.1,西,15.2
2018年10月31日,水,17.7,8.3,,3.6,,9.7,北北西,曇,曇一時晴,6.9,西,12.6
2018年11月1日,木,18.5,8.3,,2.1,,8.7,北北西,曇,晴,5.9,北,12.5
2018年11月2日,金,18.8,6,,5.9,,5.8,南東,晴後曇,晴一時曇,4.4,南東,12.3
2018年11月3日,土,20.4,7.9,,9.9,,5.4,南東,晴,晴,3.7,南東,13.3
2018年11月4日,日,21,8.2,,7.6,,4.7,南南東,晴一時曇,晴,2.9,北北西,13.3
2018年11月5日,月,22.1,8.1,,10,,4.8,南南東,晴,晴後一時曇,3.3,南南東,14.1
2018年11月6日,火,23.4,10.5,,7.7,,10.2,北,晴一時曇,快晴,6.6,北,15.9
2018年11月7日,水,22.1,9.3,,9.2,,6.4,北,晴後曇,晴,3.8,北東,15.3
2018年11月8日,木,22.1,10.7,,6.8,,6.3,東南東,晴時々曇,曇後一時雨,4.2,東北東,16.6
2018年11月9日,金,23.2,13.6,0.5,2,,10.7,南西,曇後一時晴,晴時々曇,7.5,南西,18.8
2018年11月10日,土,21.9,9.8,,9.7,,13.7,西,快晴,快晴,7.6,北北西,15.3
2018年11月11日,日,19.8,7.1,,9.6,,5.8,南南東,晴後時々薄曇,曇一時晴,3.8,南南東,13.1
2018年11月12日,月,16.7,11.1,0,0.4,,4,北東,曇一時雨,曇時々雨,3,北東,13.3
2018年11月13日,火,17.5,10.1,0.5,0.5,,10.1,北,曇,晴一時曇,6.9,北,13.6
2018年11月14日,水,17.7,6.8,0,7.2,,13.2,北北西,晴,晴,8.8,北北西,12
2018年11月15日,木,18.8,5.2,,9.3,,6.2,南南西,快晴,快晴,4.1,南南西,11.4
2018年11月16日,金,17,7,0,4,,4.5,北東,曇一時晴,曇,3.3,北東,12.1
2018年11月17日,土,19.8,10.5,,4.4,,7.8,北,曇一時晴,晴,4.7,北北東,14.2
2018年11月18日,日,18.7,7.2,0,6.8,,5.7,南,晴後時々曇,曇後雨,4.4,南,13.4
2018年11月19日,月,15.5,10.5,0,0,,8.1,北北西,曇後一時晴,晴,5.1,北北西,13.1
2018年11月20日,火,17.6,6.3,0,6.8,,7.8,西北西,晴,晴,5.8,西北西,11.2
2018年11月21日,水,15.1,5.3,,3.7,,4.6,北,曇一時晴,曇後時々雨,3.6,北,10.1
2018年11月22日,木,15.2,5.2,1.5,1.7,,16.9,北北西,曇一時雨後晴,晴後一時曇,11.1,北北西,10
2018年11月23日,金,14,3.4,,7.7,,12.1,北西,晴後曇,快晴,8.9,西,7.9
2018年11月24日,土,14,1.2,,9.8,,5.3,南南東,晴,晴,3.6,東北東,7.1
2018年11月25日,日,17.4,3.7,,8,,8.6,南南西,晴時々曇,晴,6.2,南西,9.9
2018年11月26日,月,16.3,5.5,,2.5,,5.1,北北西,薄曇,曇,3.6,北,10.4
2018年11月27日,火,17.9,8.1,,1.9,,5,南,曇一時晴,晴時々曇,3.9,南,12.5
2018年11月28日,水,16.1,8.3,0,0,,5.8,西北西,曇後時々雨,曇一時雨後晴,3.4,西北西,12.2
2018年11月29日,木,18.5,6.6,,7.1,,8.4,南西,晴,快晴,6.6,北北西,11.6
2018年11月30日,金,16.8,4,,6.9,,8.5,南南西,晴一時薄曇,晴後薄曇,6.1,南南西,9.8
2018年12月1日,土,18.5,5.7,,5.4,,7.7,北北東,薄曇後一時晴,晴一時薄曇,5,北,11.1
2018年12月2日,日,17.1,5.1,0.5,7.4,,5.7,東北東,晴後薄曇,雨一時曇,4.1,東北東,11.1
2018年12月3日,月,15.7,11.9,19,0,,6.7,北東,雨時々曇,曇一時雨,4.8,東北東,14
2018年12月4日,火,20.6,14.8,4,0.8,,10.7,北北西,曇後時々雨,曇一時雨,6.9,北北西,16.9
2018年12月5日,水,18.7,10.3,0,5.2,,9.1,北北西,曇,曇,6.1,北北西,14.4
2018年12月6日,木,11.5,9.8,7,0,,6.6,東北東,雨時々曇,曇一時晴,5.1,西北西,10.6
2018年12月7日,金,14.7,5.5,,3.3,,14.8,西,曇,曇後一時晴,11,西,9.6
2018年12月8日,土,8.9,2.6,,7.2,,14.4,西北西,晴,曇一時晴,10,西,5.2
2018年12月9日,日,7.5,1.4,,1.6,,9.2,西北西,薄曇,薄曇後一時晴,5.7,西,3.8
2018年12月10日,月,10.9,0.9,,5.4,,6.2,北北東,曇後晴,晴,3.8,東北東,4.8
2018年12月11日,火,8.4,0.2,10,0.3,,8.5,北北西,曇後雨,雨後時々曇,5.4,北北西,4.5
2018年12月12日,水,13.3,2.8,5.5,6.5,,13.9,北北西,晴一時曇,晴後一時曇,9.6,北西,7.5
2018年12月13日,木,12.3,1.4,0,4.1,,12,西,晴時々曇,晴一時曇,8.3,西北西,6.5
2018年12月14日,金,10,2.8,0,5.8,,10.6,西,晴後時々曇,晴一時曇,7.8,西,6.3
2018年12月15日,土,10.7,1,,5.3,,6.7,北,晴,晴,4,北北西,4.9
2018年12月16日,日,10.8,-0.3,5.5,3.5,,6.2,北北西,晴後雨,雨後晴、霧を伴う,4.5,北,5.3
2018年12月17日,月,13.1,4,0.5,3.6,,13.2,西北西,晴時々曇、霧を伴う,晴,9,西,7.3
2018年12月18日,火,11.6,1.8,,5.3,,15.9,西,晴時々曇,晴,10.2,西,6.4
2018年12月19日,水,14.3,0.3,,6.6,,12.9,西南西,晴一時薄曇,晴後薄曇,8.5,西南西,7.5
2018年12月20日,木,10.6,5.4,0.5,0,,4.3,北北東,曇時々雨,曇、霧を伴う,3.1,北東,7.6
2018年12月21日,金,14.3,4.5,4.5,3.8,,6.6,東北東,晴後曇一時雨、霧を伴う,雨時々曇,4.7,東北東,9
2018年12月22日,土,16.2,8.8,3,1.3,,5.6,西,曇時々雨,曇時々晴,4,北,11.5
2018年12月23日,日,14.3,8.1,0.5,2.8,,11.4,北西,曇一時晴後時々雨,晴,7.8,北西,11
2018年12月24日,月,12,4.1,0,5.3,,8.1,北北西,晴後一時曇,曇後晴,5.2,北北西,8.3
2018年12月25日,火,12,0.8,,8.5,,6.7,南南西,晴時々薄曇,晴後曇,4.1,南,5.5
2018年12月26日,水,11,3.9,0,0.8,,5.4,北,曇一時雨,曇後一時晴,4.2,西北西,7.7
2018年12月27日,木,12.3,4.2,0,7.4,,15.4,北,晴時々曇,晴時々曇,10,北北西,7.4
2018年12月28日,金,6.9,-0.2,0,5.9,,14.2,西北西,晴一時曇、みぞれを伴う,晴,10.2,西,3.2
2018年12月29日,土,7.1,-1.3,0,7.2,,14.3,西南西,晴,快晴,10.1,西南西,2.3
2018年12月30日,日,8.9,-2.1,0.5,7.8,,15.2,北北西,晴後一時雨,晴時々曇,8.5,西北西,3.5
2018年12月31日,月,8.8,-0.6,,1.3,,9.1,北,曇後一時晴,晴後一時曇,6.6,北,3.9
2019年1月1日,火,10.3,-1.7,0,4.2,,13.9,西北西,曇時々晴,曇後晴,9.8,西北西,4.6
2019年1月2日,水,10.4,1.6,,9.2,,13,西北西,快晴,快晴,9.2,西北西,5.3
2019年1月3日,木,10.8,-0.6,,7.5,,10,北西,晴,快晴,7.1,西北西,4.9
2019年1月4日,金,11.3,-1.8,0,7.4,,5.4,南,晴後時々曇,曇,3.6,南東,4.9
2019年1月5日,土,12.5,3.8,0,1.5,,9.8,北西,曇後晴,晴後曇,7.1,北西,8
2019年1月6日,日,9.6,3,0,1.4,,10.2,北,曇,曇後晴,7,北北西,6
2019年1月7日,月,10.6,-0.2,0,4.5,,9,南西,晴一時曇,晴時々薄曇,6,南西,4.7
2019年1月8日,火,13.4,-0.6,,7.6,,13.6,西北西,晴一時薄曇,晴後一時曇,9,西北西,6
2019年1月9日,水,8,0.6,0,6,,12.2,北北西,晴後時々曇,曇時々晴,8.5,北北西,4.5
2019年1月10日,木,7.8,-1.7,,0.1,,7.2,西南西,曇,曇,4.7,西南西,3.8
2019年1月11日,金,11.7,3.4,0,2.2,,6.8,北,曇一時晴,曇一時晴,4.7,北,7.4
2019年1月12日,土,7.4,1.8,0,0,,5.5,北,曇時々雨,晴一時曇,3.6,北東,5
2019年1月13日,日,13,-1.1,,9.5,,6.2,西南西,晴,快晴,4.7,西南西,5.1
2019年1月14日,月,13.1,-1,,9.6,,6.7,南西,晴,薄曇一時晴,3.7,南西,5.5
2019年1月15日,火,12.4,1.6,0,2.4,,11.7,北西,曇時々雨一時晴,曇一時晴,8.2,西北西,6.1
2019年1月16日,水,11.3,1.5,0,6.1,,10.6,北西,晴一時曇,晴後一時薄曇,7.7,北北西,6.4
2019年1月17日,木,10.9,-0.4,0,7.3,,15.8,西北西,晴一時曇,曇,10.2,西北西,5.3
2019年1月18日,金,12.8,1.7,0,4.7,,9.1,西,晴一時曇,快晴,7,西,6.4
2019年1月19日,土,13.7,-0.7,,9.6,,7.3,南西,晴,曇一時晴後雨,5.3,南南西,5.9
2019年1月20日,日,13.5,5.7,2,3.7,,17.6,西,雨後晴,晴,13.2,西北西,7.8
2019年1月21日,月,10.7,0,,6.5,,14.8,西南西,晴一時曇,晴,9.7,西北西,5.5
2019年1月22日,火,11.3,-0.1,,5,,10.2,北西,晴一時曇,快晴,7.1,北西,5.2
2019年1月23日,水,13.8,-1.1,,8,,14.5,西南西,晴,晴後時々曇,9.3,西南西,6
2019年1月24日,木,9.3,0.7,0,3,,10.3,北西,曇後一時晴,晴,7.1,北西,5.8
2019年1月25日,金,9.5,-1.9,0,1.8,,14.9,西北西,曇一時晴,晴時々曇,9.8,西,4.4
2019年1月26日,土,5.8,0,0,4.7,,17,北北西,曇後晴一時雪,晴,10.2,北北西,2.8
2019年1月27日,日,10.1,-0.7,0,5.2,,10.1,西北西,晴,晴一時薄曇,6.4,北北西,4
2019年1月28日,月,10.6,-0.3,0,0.8,,19,西北西,曇一時晴,曇時々晴一時みぞれ,10.9,西,4.8
2019年1月29日,火,9.8,0.3,0,5.1,,11.4,北北西,晴時々曇,快晴,6.7,北北西,5
2019年1月30日,水,11.8,-2,,7.7,,6,南,晴一時曇,晴後曇,3.8,南東,4
2019年1月31日,木,6.2,1.8,15.5,0,,8.1,北北西,雨一時曇,曇一時雨後時々晴,5.9,北北西,4.2
2019年2月1日,金,8.9,-0.2,0,4.3,,8.4,西南西,晴時々曇,快晴,5.7,西南西,3.8
2019年2月2日,土,11.1,-1.6,,7.5,,7.6,西南西,晴一時曇,晴後曇,5,南西,4.3
2019年2月3日,日,9,0.6,2.5,0,,5.3,北北西,曇後雨,雨後時々曇,4,北北西,4.9
2019年2月4日,月,14.8,3.8,0.5,6.5,,12.5,北北東,晴,快晴,8.9,北北西,9.8
2019年2月5日,火,11.9,0,,9.9,,7,南東,快晴,曇後雨,4.7,南東,6
2019年2月6日,水,12.2,4.9,4,2.3,,5.7,北東,曇時々雨後一時晴,晴後曇,4.3,北東,7.3
2019年2月7日,木,13.3,4.1,,0.5,,8.5,北西,曇,曇後晴,6.1,西北西,8.4
2019年2月8日,金,10.1,3.1,,3.4,,10.3,北北西,曇,曇,7.6,北北西,6.3
2019年2月9日,土,7.9,2.3,0,0,,12.8,北西,曇一時雨後一時晴,晴後一時薄曇,8.8,北北西,4.2
2019年2月10日,日,7.2,1.2,,5.3,,10.2,北北西,晴後曇,曇後時々雪,6.2,北西,3.7
2019年2月11日,月,4.3,0.1,5,0,3,7.5,東北東,雪後曇,晴一時曇,5.6,西北西,2.1
2019年2月12日,火,10.7,-1.5,,8.7,,9.9,西北西,晴,曇一時晴,6.8,西北西,4.4
2019年2月13日,水,12.5,2.3,,7.2,,9.9,南西,晴時々曇,晴後薄曇,6.7,南西,6.2
2019年2月14日,木,7.1,1,,0.9,,11.3,北西,曇,曇一時晴,7.6,北,4.2
2019年2月15日,金,8.3,-0.1,0,2.4,,6.2,東南東,曇,曇後一時晴,3.9,東南東,4.4
2019年2月16日,土,12.5,3.5,0,3.3,,14.3,西北西,曇後時々晴,晴時々曇,9.3,西北西,6.9
2019年2月17日,日,10.8,1.4,0,5.3,,9.1,南西,曇一時晴後時々雨,晴後一時薄曇,5.7,南南西,5.6
2019年2月18日,月,12.1,-1,,8.2,,5.2,南東,薄曇,曇後時々雨,3.5,南東,5.6
2019年2月19日,火,12.8,5.5,11,0,,7.5,東北東,雨後時々曇,曇,5.6,東北東,9.3
2019年2月20日,水,17.4,6.3,0,5.3,,15.6,北西,晴時々曇,晴後曇,11.6,西北西,11.6
2019年2月21日,木,10.8,5.6,,0.9,,11.6,北北西,曇後時々晴,曇,7.9,北北西,7.7
2019年2月22日,金,11.5,2.7,,4.3,,7.2,南東,曇,曇後一時晴,3.6,北,7.6
2019年2月23日,土,13.6,3.9,0,7.7,,15,北,晴一時曇,曇,10,北北西,8.6
2019年2月24日,日,12.7,1.7,,8.3,,6.7,南南東,曇一時晴,快晴,4.2,南東,6.5
2019年2月25日,月,16.1,1,,8.3,,8.4,南西,薄曇後時々晴,薄曇時々晴,6.4,南西,8.7
2019年2月26日,火,16.1,3.9,,9.7,,9.5,北北西,晴,晴後曇,6.1,北北西,9.6
2019年2月27日,水,10.6,2.2,0,0,,6,東北東,曇,雨一時曇,4.2,東北東,6.8
2019年2月28日,木,12.2,6.2,12,0,,8.3,北北西,曇時々雨,曇後晴,6.4,北西,8.5
2019年3月1日,金,16.3,2.9,,9,,10.6,西南西,晴,晴後一時薄曇,7.4,南西,8.9
2019年3月2日,土,14.7,1.7,,8.3,,8.5,南西,晴後曇,曇後雨,4.2,東,8.3
2019年3月3日,日,11.1,6,8,0,,6.3,東,雨,雨,4.2,東南東,8.4
2019年3月4日,月,12.7,5,14.5,0.4,,13.2,北,雨後曇一時晴,快晴,7.8,北北西,9.1
2019年3月5日,火,16.7,2.3,,10.3,,7.9,南南東,晴後時々薄曇,曇,5.1,南南東,9.4
2019年3月6日,水,14.5,7,11,0.5,,6.5,北北東,雨時々曇,雨後曇,4.3,東北東,9.8
2019年3月7日,木,11.8,4.8,0,3.4,,17.3,北北西,曇一時雨後時々晴,晴,11.2,北北西,9
2019年3月8日,金,14.1,0.7,0,11,,11,北北西,晴,快晴,6.1,南西,6.9
2019年3月9日,土,15.2,0.4,,11.1,,7.5,南東,晴時々薄曇,曇,5.1,南東,8
2019年3月10日,日,12,6.9,15,0,,9.5,東,雨,雨時々曇,6.5,東北東,9.8
2019年3月11日,月,16.6,6.5,6,5.8,,17.9,北西,晴一時曇,晴一時曇,12.3,西北西,11.9
2019年3月12日,火,15.4,5,0,3.5,,13.8,南西,曇後時々雨,晴後一時雨,9.6,南西,9.4
2019年3月13日,水,12.3,4.4,0,8.9,,18.4,西北西,晴,快晴,13.9,西北西,7.6
2019年3月14日,木,13.3,1.6,,6.8,,12.1,南西,薄曇一時晴,晴,9,南西,7.2
2019年3月15日,金,14.6,0.5,0,8.8,,12.3,北北西,晴後一時曇,晴時々曇後時々雨,8.4,北北西,7.2
2019年3月16日,土,13.6,1.7,7.5,6.1,,17.1,西北西,晴,晴,10.5,西,7.4
2019年3月17日,日,13.3,1.9,0,5.3,,17.3,西北西,曇一時雨後晴,快晴,10.9,北西,6.9
2019年3月18日,月,14.1,0.7,,10.2,,7.3,南東,薄曇,曇後雨,4.8,南東,7.8
2019年3月19日,火,15,6.5,13,1.8,,6.9,北北西,雨後曇一時晴,晴後一時曇,5.1,北北西,9.6
2019年3月20日,水,18.6,4.5,0,6.5,,7.2,南東,曇時々晴、霧を伴う,曇後雨,4.4,南東,11.4
2019年3月21日,木,23.3,12.6,3.5,2.8,,7.8,東北東,曇時々雨後一時晴,曇,5.5,東北東,16.4
2019年3月22日,金,15.8,7.3,,2.4,,13.4,北北西,曇後時々晴,曇時々晴,8.5,北北西,11.4
2019年3月23日,土,11.3,1.5,2.5,1.2,,9.3,北,曇後時々雨,晴一時曇,6.3,北,5.8
2019年3月24日,日,13.4,0.9,0,8.2,,10.4,南南西,晴,晴後一時薄曇,6.8,南西,6.9
2019年3月25日,月,13.4,2,,3.5,,6.7,南,曇,曇後時々晴,4.5,南南西,8.3
2019年3月26日,火,18.5,4.6,0,10.3,,15.4,西北西,晴一時曇,快晴,11,北西,11.2
2019年3月27日,水,20.9,4.2,,10,,16.1,西南西,晴時々薄曇,薄曇,10.3,南西,13.1
2019年3月28日,木,19.4,8.6,0,4.2,,10.4,北東,曇,薄曇,7.4,北東,13.8
2019年3月29日,金,16,6.1,,8.9,,7.2,南東,薄曇,曇,4.7,南東,10.7
2019年3月30日,土,16.4,8.4,2.5,0.8,,8.9,北西,曇時々雨,曇一時雨後時々晴,6.4,北西,11.2
2019年3月31日,日,13.9,5.4,0,9.8,,18.1,西,晴時々曇一時雨,晴後曇,12.2,西北西,9.6
2019年4月1日,月,13.2,2.8,0,6,,19.7,西北西,曇後晴,晴,12.6,西北西,7.2
2019年4月2日,火,12.3,0.3,0,5.8,,13.2,北,晴時々曇,晴一時曇,9.4,西,6.6
